id,sourceName,locality,economicUnits,permanentEstablishments,temporaryEstablishments,economicHouseholds,personsEngaged,permanentPersonsEngaged,temporaryPersonsEngaged,economicHouseholdPersonsEngaged,xlsxRow,pdfPage,printedPage
district-habiganj,Habiganj,Rural,93895,46622,4032,43241,246203,186593,5109,54501,213,147,123
district-habiganj,Habiganj,Urban,32415,21674,2976,7765,84940,70818,3999,10123,214,147,123
district-moulvibazar,Moulvibazar,Total,117684,69212,7040,41432,316607,251310,9351,55946,215,147,123
district-moulvibazar,Moulvibazar,Rural,87699,48037,4100,35562,231929,178840,5304,47785,216,147,123
district-moulvibazar,Moulvibazar,Urban,29985,21175,2940,5870,84678,72470,4047,8161,217,147,123
district-sunamganj,Sunamganj,Total,116631,64953,6125,45553,227660,160538,7582,59540,218,147,123
district-sunamganj,Sunamganj,Rural,86593,44484,3605,38504,149876,94756,4310,50810,219,147,123
district-sunamganj,Sunamganj,Urban,30038,20469,2520,7049,77784,65782,3272,8730,220,147,123
district-sylhet,Sylhet,Total,186025,120072,9477,56476,509607,420102,13101,76404,221,147,123
district-sylhet,Sylhet,Rural,103803,60075,4494,39234,225878,166235,6049,53594,222,147,123
district-sylhet,Sylhet,Urban,82222,59997,4983,17242,283729,253867,7052,22810,223,147,123
